City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,cannonvale,-20.2833,148.7,27.66,83,99,5.81,AU,2024-02-01
118,coquimbo,-29.9533,-71.3436,20.85,77,40,5.14,CL,2024-02-01
119,namanyere,-7.5167,31.05,15.83,96,86,1.08,TZ,2024-02-01
120,island harbour,50.724,-1.2758,6.63,89,93,3.28,GB,2024-02-01
121,ponta delgada,37.7333,-25.6667,18.44,88,40,5.14,PT,2024-02-01
122,rongelap,11.1635,166.8941,26.04,88,100,12.33,MH,2024-02-01
123,chul'man,56.8479,124.9104,-36.42,100,100,0.67,RU,2024-02-01
124,tiksi,71.6872,128.8694,-18.85,94,100,2.36,RU,2024-02-01
125,howrah,22.5892,88.3103,21.0,88,100,3.09,IN,2024-02-01
126,pechora,65.1472,57.2244,-6.19,94,44,4.92,RU,2024-02-01
127,luza,60.6308,47.2512,-4.09,95,100,4.87,RU,2024-02-01
128,sitka,57.0531,-135.33,1.94,60,100,4.12,US,2024-02-01
129,lorengau,-2.0226,147.2712,27.6,79,76,2.94,PG,2024-02-01
130,sinabang,2.4803,96.3801,27.22,80,79,1.86,ID,2024-02-01
131,margate,51.3813,1.3862,5.39,74,100,1.79,GB,2024-02-01
132,port elizabeth,-33.918,25.5701,22.4,94,20,7.72,ZA,2024-02-01
133,emerald,-23.5333,148.1667,23.52,91,18,2.49,AU,2024-02-01
134,samsula-spruce creek,29.0493,-81.0619,21.79,70,0,4.63,US,2024-02-01
135,pimentel,-6.8367,-79.9342,27.16,74,75,6.69,PE,2024-02-01
136,ciudad lazaro cardenas,17.9583,-102.2,28.43,66,100,3.32,MX,2024-02-01
137,talnakh,69.4865,88.3972,-15.44,86,100,7.58,RU,2024-02-01
138,siwa oasis,29.2041,25.5195,11.26,50,13,3.16,EG,2024-02-01
139,tsiombe,-25.3,45.4833,23.5,76,83,7.46,MG,2024-02-01
140,christchurch,-43.5333,172.6333,19.62,56,40,4.63,NZ,2024-02-01
141,ribeira grande,38.5167,-28.7,16.54,94,20,2.06,PT,2024-02-01
142,ghadamis,30.1337,9.5007,11.33,44,5,2.35,LY,2024-02-01
143,buka,40.8108,69.1986,-0.06,83,100,3.33,UZ,2024-02-01
144,carnarvon,-24.8667,113.6333,24.53,85,76,3.4,AU,2024-02-01
145,lebu,-37.6167,-73.65,18.67,79,3,5.75,CL,2024-02-01
146,novyy urengoy,66.0833,76.6333,-12.61,91,100,8.18,RU,2024-02-01
147,dedza,-14.3779,34.3332,14.28,90,23,1.02,MW,2024-02-01
148,chaman,30.9236,66.4512,6.17,33,4,1.66,PK,2024-02-01
149,yelizovo,53.1873,158.3805,-13.92,71,75,4.02,RU,2024-02-01
150,karratha,-20.7377,116.8463,28.34,68,95,6.75,AU,2024-02-01
151,pont rouge,48.8833,-72.0825,-1.94,97,100,4.29,CA,2024-02-01
152,tofol,5.3248,163.0078,27.77,81,100,5.97,FM,2024-02-01
153,danshui,22.7984,114.4672,19.0,95,58,1.16,CN,2024-02-01
154,jining,35.405,116.5814,-5.13,62,6,2.04,CN,2024-02-01
155,olavarria,-36.8927,-60.3225,40.24,10,22,3.85,AR,2024-02-01
156,taltal,-25.4,-70.4833,22.46,71,23,2.69,CL,2024-02-01
157,bilibino,68.0546,166.4372,-43.68,97,7,1.81,RU,2024-02-01
158,akureyri,65.6835,-18.0878,3.96,65,40,9.26,IS,2024-02-01
159,mogadishu,2.0371,45.3438,26.55,86,88,5.67,SO,2024-02-01
160,fort scott,37.8398,-94.7083,19.16,59,100,6.28,US,2024-02-01
161,korem,12.5058,39.5228,12.75,92,100,1.12,ET,2024-02-01
162,bani walid,31.7566,13.9942,10.77,54,0,1.82,LY,2024-02-01
163,santiago de veraguas,8.1,-80.9833,29.36,51,100,6.26,PA,2024-02-01
164,mancha real,37.7863,-3.6123,11.82,82,35,0.76,ES,2024-02-01
165,jabat,7.75,168.9751,27.36,84,51,9.73,MH,2024-02-01
166,nishinoomote,30.7333,131.0,16.89,81,100,6.98,JP,2024-02-01
167,iwamizawa,43.2003,141.7597,-6.07,86,100,2.7,JP,2024-02-01
168,tulnici,45.9167,26.6667,1.36,77,11,3.57,RO,2024-02-01
169,charters towers,-20.1,146.2667,24.67,80,100,3.96,AU,2024-02-01
170,kurmuk,10.55,34.2833,22.81,21,3,2.8,SD,2024-02-01
171,peniche,39.3558,-9.3811,15.25,82,10,3.3,PT,2024-02-01
172,toliara,-23.35,43.6667,27.41,69,92,4.68,MG,2024-02-01
173,keflavik,64.0049,-22.5624,3.24,100,100,3.09,IS,2024-02-01
174,mont-dore,-22.2833,166.5833,28.89,99,100,1.79,NC,2024-02-01
175,labuan,5.2767,115.2417,24.2,94,40,0.0,MY,2024-02-01
176,candido mendes,-1.4467,-45.7167,25.39,96,100,2.11,BR,2024-02-01
